,,No UBI,No UBI,No UBI,No UBI,With UBI,With UBI,With UBI,With UBI,With UBI,improvement
,,pr_threshold,targeted_amount,ubi_amount,crra,pr_threshold,ubi_share,targeted_amount,ubi_amount,crra,
budget_share_of_gdp,noise,,,,,,,,,,
0.01,High noise,30,50.465437411916206,0.0,-0.7900440447379017,17,35,57.887564955218494,5.298777649775606,-0.27861305707663786,0.64734490572729
0.01,Low noise,3,504.70819750230345,0.0,-0.005451355209683774,3,0,504.70819750230345,0.0,-0.005451355209683774,0.0
0.01,No noise,3,504.99500163337547,0.0,-0.003620132487339897,3,0,504.99500163337547,0.0,-0.003620132487339897,0.0
0.1,High noise,68,222.640570732956,0.0,-0.0163672410191978,14,49,551.5414582754573,74.18288709685848,-0.004303602401985382,0.7370599970430256
0.1,Low noise,10,1514.2056793881168,0.0,-0.0007835408167657858,8,3,1835.9386295009979,4.541809414093376,-0.0007822629558547682,0.001630879826136078
0.1,No noise,4,3786.441829006851,0.0,-0.00029229935734360256,4,0,3786.441829006851,0.0,-0.00029229935734360256,0.0
0.2,High noise,68,445.281141465912,0.0,-0.004481953724482809,14,52,1038.195686165567,157.44939302190372,-0.0014914072024765994,0.667241722213743
0.2,Low noise,11,2752.665283266613,0.0,-0.00044283748486371934,11,0,2752.665283266613,0.0,-0.00044283748486371934,0.0
0.2,No noise,6,5047.3298398399875,0.0,-0.0002120188334665228,6,0,5047.3298398399875,0.0,-0.0002120188334665228,0.0
0.5,High noise,68,1113.2028536647804,0.0,-0.0009589983565758662,12,63,2334.251297993132,476.8899884798045,-0.0004991317585182121,0.4795280355845679
0.5,Low noise,20,3785.1216512747637,0.0,-0.00027034027974939947,20,0,3785.1216512747637,0.0,-0.00027034027974939947,0.0
0.5,No noise,10,7571.4731460364355,0.0,-0.00014920465691085772,10,0,7571.4731460364355,0.0,-0.00014920465691085772,0.0
1.0,High noise,68,2226.4057073295608,0.0,-0.0003872541578186324,12,70,3785.272375123999,1059.7555299551213,-0.0002677417395275913,0.3086149389957328
1.0,Low noise,25,6055.96768887301,0.0,-0.00019904444235173876,20,25,5677.682476912145,378.48411784111465,-0.00019209849936732457,0.034896442735837696
1.0,No noise,16,9462.740640137125,0.0,-0.00011163329989421664,16,0,9462.740640137125,0.0,-0.00011163329989421664,0.0
5.0,High noise,100,7569.903019476195,0.0,-8.037405001646235e-05,19,84,6374.549133095639,6358.533179730727,-7.115839884739807e-05,0.11465953460322975
5.0,Low noise,80,9462.362599256352,0.0,-7.21221407097001e-05,25,73,8175.556379978563,5525.868120480274,-6.6126030327073e-05,0.08313827520403383
5.0,No noise,43,17604.14439906992,0.0,-4.3460250270402886e-05,43,0,17604.14439906992,0.0,-4.3460250270402886e-05,0.0
